2026-03-25 10:05:40 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:05:40 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:06:04 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:06:04 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:06:12 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:06:12 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:06:49 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:06:49 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:06:49 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:06:49 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:06:49 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:06:49 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:08:52 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:08:52 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:08:52 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:09:25 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: (sqlite3.OperationalError) no such table: reminders
[SQL: SELECT reminders.id AS reminders_id, reminders.title AS reminders_title, reminders.content AS reminders_content, reminders.reminder_time AS reminders_reminder_time, reminders.is_completed AS reminders_is_completed, reminders.completed_at AS reminders_completed_at, reminders.created_at AS reminders_created_at, reminders.updated_at AS reminders_updated_at 
FROM reminders 
WHERE reminders.is_completed = ? ORDER BY reminders.reminder_time ASC]
[parameters: (0,)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 10:11:21 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:11:21 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:11:21 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:11:21 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:11:22 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:11:22 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:11:22 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:11:22 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:11:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:11:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:12:09 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:12:09 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:12:09 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:12:09 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:12:10 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:12:10 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:12:10 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:12:10 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:12:10 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:12:10 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:12:50 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:12:50 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:12:50 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:12:50 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:12:51 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:12:51 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:12:51 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:12:51 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:12:51 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:12:51 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:15:51 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:15:51 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:16:33 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:16:33 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:16:33 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:21:57 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: (sqlite3.OperationalError) no such table: reminders
[SQL: INSERT INTO reminders (title, content, reminder_time, is_completed, completed_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?)]
[parameters: ('测试提醒功能', '验证Reminder CRUD操作是否正常', '2026-03-25 18:00:00.000000', 0, None, '2026-03-25 10:21:57.211599', '2026-03-25 10:21:57.211613')]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 10:25:06 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:25:06 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:25:06 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:25:06 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:25:06 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:25:06 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:25:07 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:25:07 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:25:07 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
